label;id
Fundraising and Crowdsourcing;168
Mechanical Engineering;169
Neurology;170
Computer Science;171
Business Operations;172
First Aid;173
Financial Modeling;174
Business Consulting;175
Mathematics and Mathematical Modeling;176
Physical Abilities;177
Web Analytics;178
Theatre and Performance Art;179
Drafting and Engineering Design;180
Production and Assembly;181
Animation and Game Design;182
Social Awareness;183
Crop Farming;184
Gastroenterology;185
General Administrative and Clerical Tasks;186
Office and Productivity Software;187
Training Programs;188
General Networking;189
General Sales Practices;190
Medical Equipment and Technology;191
Water Supply, Testing, and Treatment;192
Mental Health Therapies;193
Firmware;194
Data Collection;195
Program Management;196
Artificial Intelligence and Machine Learning (AI/ML);197
Media Production;198
Business Leadership;199
Servers;200
Agile Software Development;201
Education Administration;202
Health Care Procedure and Regulation;203
Budget Management;204
Human Resources Management and Planning;205
User Interface and User Experience (UI/UX) Design;206
Language Interpretation and Translation;207
Graphic and Visual Design Software;208
Software Development;209
Operating Systems;210
Communication;211
Childhood Education and Development;212
Food and Beverage;213
Social Media;214
Economics;215
Content Management Systems;216
Electronic Trading;217
Mathematical Software;218
Language Teaching;219
Electronics Engineering;220
Special Education;221
Biotechnology;222
Civil and Architectural Engineering;223
Recruitment;224
Engineering Practices;225
Property Law;226
Business Communications;227
Electrical and Computer Engineering;228
Cardiology;229
Geospatial Information and Technology;230
People Management;231
Structured Finance;232
Language Study;233
Online Marketing;234
Business Management;235
Databases;236
Child Care;237
Bioinformatics;238
Micro Manufacturing;239
Networking Software;240
Financial Analysis;241
Language Competency;242
Oncology;243
Circuitry;244
Sports and Recreation;245
Data Storage;246
General Accounting;247
Dance;248
Microsoft Development Tools;249
Physics;250
Vituralization and Virtual Machines;251
Apache;252
Criminal Investigation and Forensics;253
Network Protocols;254
Statistical Software;255
Laboratory Research;256
Problem Solving;257
Cybersecurity;258
Telecommunications;259
Agricultural Research and Agronomy;260
Tourism Services and Attractions;261
Promotions and Campaigns;262
Financial Trading;263
Enterprise Application Integration;264
Cloud Computing;265
Energy Management;266
Animal Care;267
Events and Conferences;268
Initiative and Leadership;269
Document Management;270
Financial Management;271
Creative Design;272
Employee Relations;273
Data Science;274
C and C++;275
Microsoft Windows;276
Nutrition and Diet;277
Advanced Patient Care;278
Product Development;279
IT Automation;280
