Name,Occupation,Country,Company,Position,Type,CRI
0d721d51dc7ab6f4d4c221b3349010ea,"Postdoctoral researcher | Project manager BIOSTABLE, Ghent University", Belgium,"Ghent University · Full-time,Institut Curie,L'Open Lab, Paris,Ghent University","Graduate Researcher in Medical Sciences,PhD student in Bioscience Engineering,Technical engineer,Eco-Smart Solutions,Internship,Project coordinator | Postdoc,Postdoctoral researcher | Project manager BIOSTABLE, Ghent University","Other,Research,Student","Master Edu,Master Exp"
0dcb2d85800d6c7863a44ee0ac1237ae,Postdoctoral Fellow at Institut Pasteur,France,"Institut Pasteur,Institut Curie","PhD student,Postdoctoral Fellow","Research,Student",PhD
0e02aad183f5c41a2bc00f927fa4978f,"Trainee Patent Attorney, PhD", Belgium,"Ghent University Global Campus · Full-time,Universität Bern,Biogazelle · Full-time,NLO | European patent and trademark attorneys · Full-time","Trainee Patent Attorney,Data reviewer,Graduate Research Assistant,Research and Planning Officer,Trainee Patent Attorney, PhD","Research,Other,Student","Master Edu,Master Exp"
0e2525647a9683a863c84e6d95c65a27,Étudiante doctorante at Institut Pasteur,France,"Institut Pasteur,Centre d'Ecologie et des Sciences de la Conservation (UMR 7204),Institut de Systématique, Évolution, Biodiversité (UMR 7205),Centre de Bioinformatique, Biostatistique et Biologie Intégrative (USR 3756)","Master,Ingénieur Bioinformatique et Biomoléculaire,Phylogenie des buffles et assemblage du genome de l'anoa,Impact de la diversité du blé sur l'abondance et la diversité des araignées,Étudiante doctorante,Evolution des gènes codant pour les protéines du lait chez les Bovidae","Student,Research,Other","Licence Edu,Licence Exp"
0e3cd390e6c252fb8a142976a929dd14,"Visiting fellow at National Heart, Lung, and Blood Institute (NHLBI)",United States of America,"National Heart, Lung, and Blood Institute (NHLBI),Institut Curie","Visiting fellow,PhD student","Research,Student",PhD
0e7625251e1f875a70381f7045d0a0cf,"UX Design Engineer Intern at Baidu, Inc.", France,"Baidu, Inc.",UX Design Engineer Intern,Student,Master Exp
0e870794e5a416724c8515abee00c7ad,Stage au sein du laboratoire de l'Institut du fer à moulin UMRS 839 en neuroscience. at Inserm,France,CNED,Other,Student,Licence Edu
0e8b6f6e19692462b94fe66c11820c7c,"Student,Vascular Surgery Resident at Greater Paris University Hospitals - AP-HP", France,"Université Paris Cité,Greater Paris University Hospitals - AP-HP","Vascular Surgery Resident,Vascular Surgery Resident at Greater Paris University Hospitals - AP-HP",Student,"Master Edu,Master Exp"
0ea4c5f58629bf196272b82ce69fec02,Cyber Security Analyst chez Thales, France,"Inria,Ecole Normale Superieure,SEKOIA,Université Grenoble Alpes,DGA - Direction générale de l'armement,Courant Institute of Mathematical Sciences,VERIMAG","PostDoc,Teaching Assistant,PhD Candidate,External Collaborator,Cyber Security Analyst chez Thales,Security Researcher,Security Software Engineer,Associate Research Scientist","Student,Research,Other","Master Edu,Master Exp"
0eafa2e824460201165498b17523f02c,"Researcher at Inserm,Resercher at INSERM at Inserm","Greater Paris Metropolitan Region,France","Inserm,French Ministry of Women Rights,Weizmann Institute of Science,Institut Pasteur,Inserm · Full-time,INSERM U1001 (Robustness and Evolvability of Life),iGEM Paris Bettencourt,WAX Science","Researcher at Inserm,Researcher,Post-doctoral Researcher,Co-Founder ; Co-President,iGEM : Team Member,Consulting mission,PHD Candidate,Research Intern,Resercher at INSERM","Other,Board,Research,Student","PhD,Master Edu,Master Exp"
0f1dc4b204f8de6bf328c06a0e6fa873,Product Owner chez Stago,Greater Paris Metropolitan Region,"INSERM U768 (Hôpital Necker, Paris),MAK SYSTEM","Chef de Projet / Analyste Fonctionnelle,Product Owner chez Stago,Docteur en Immunologie",Other,"Master Edu,Master Exp"
0f497250692137d84eab480b2758000a,Founder / C.E.O at Cherry Biotech,France,"Cherry Biotech,ELVESYS - Microfluidic Innovation Center,Eden Microfluidics,N.B.I.C Valley Fondation,Institut Curie","COO,Co Founder,Student,Founder / C.E.O,Physicist,Phd in Physics - Intrapreneur","Board,Other,Student","Master Edu,Master Exp"
0fefa3eaa87bf75f222eb1469f2f6135,Country Manager Russia – Superprof, France,"Dedu Center · Freelance,NUMA · Stage,SkillFactory · CDI","Learning Experience Designer,Learning Manager,Training Project Manager (Internship)",Other,Master Exp
1026e0a7706f7d48157724eacf64c782,"Political Advisor at Ministry of Culture, Youth and Sports", Kosovo,"Ministry of Culture, Youth and Sports · Part-time,Self employed,UBT - University for Business and Technology,UBT-CMMDPM-Center for Modern Music, Digital Production and Managment","Political Advisor,Director,Political Advisor at Ministry of Culture, Youth and Sports,Music Composer,Lecturer","Board,Student","Master Edu,Master Exp"
106a636e17fa35067640ea91bab04417,Chercheur postdoctoral at Institut Pasteur,France,"Imperial College London,Institut Pasteur,The University of Tokyo,CNRS - Centre national de la recherche scientifique,École Normale Supérieure de Cachan,Centre de Recherches Interdisciplinaires - Center for Research and Interdisciplinarity (CRI Paris),ESPCI,Genopole","Student,Chercheur postdoctoral,Research Intern,Normalien,PhD Student,Teaching assistant (Physics - FdV Licence)","Other,Research,Student","Master Edu,Master Exp"
109777c5f6f73cdf3dbb10508c0b35f3,"Resident at APHP,Student",Greater Paris Metropolitan Region,"EFFA,Université Paris Cité,CEA","Internship,Teaching,Resident at APHP",Student,"Master Edu,Master Exp"
10cc28e55e8ee62a88ba711f79f711c9,C# Programmer junior, France,"QUANTALYS,Capgemini","Développeur,Ingénieur Logiciel C#/.Net","Other,Student",Master Exp
110ff7fc4a1b87f6cd467e02b7e3e309,"Postdoctoral Researcher at Centro Nacional de Biotecnología (CNB-CSIC). Madrid, Spain",Spain,"Institut Pasteur,Native Scientist,Centro Nacional de Biotecnología (CNB-CSIC). Madrid, Spain","Postdoctoral Researcher,Creative Editor,PHD Student,Project manager for Portuguese in France","Other,Research,Student",PhD
1177bda3cb89aa2f4a766a5ee16e421d,Science writer dedicated to making complex concepts more accessible and engaging, France,"Magazine Globule · Internship,AMOLF · Internship,CRI · Internship,Institut Pasteur · Internship,Université Grenoble Alpes · Contract","PHD Researcher,Science Illustrator, Part time,Design Intern for Trivia games,Science writer dedicated to making complex concepts more accessible and engaging,Research Intern in Developmental Biology","Other,Student","Master Edu,Master Exp"
11882e25b5bac0f4312294663019b173,Référente déchets du Pôle Erdre et Cens at Nantes Métropole,France,"Ecogeos,CRI - Centre de Recherches Interdisciplinaires,Green Donut,Nantes Métropole,Department of Conservation (DOC),Environnement & Solutions,Expérience personnelle,SupporTerre,Université Paris Diderot,SNCF,CRI","Animatrice et facilitatrice de la Fresque des déchets et de la Fresque du textile,Chargée d'études,Ingénieure d'études,Volontaire en service civique chargée de la sensibilisation et réduction des déchets dans le sport,Other,Référente déchets du Pôle Erdre et Cens,Chargée de projets environnement et déchets,Volontariats en conservation de la nature,Master,Tutrice lors d'un Aquathon (séminaire scientifique),Stage de terrain métrologie,Voyage, woofings et travail en Nouvelle Zélande,Tutrice lors d'un séminaire scientifique","Other,Student","Licence Edu,Licence Exp"
11bb623d55834767a802cbad1bd3f983,Applied Scientist at UiPath, India,"Media Neuroscience Lab · Internship,The Alan Turing Institute · Internship,UiPath · Permanent,SAP Labs France · Internship","Research Assistant,Applied Scientist,Cyber Security Researcher,Web Developer","Student,Research,Other",Master Exp
11e11a51b0ca699493bb54c3fd077fb9,Stage: Etude des réponses comportementales des cercopithèques de l'Hoest face à des prédateurs at Muséum national d'Histoire naturelle,France,"Association VIE,Muséum national d'Histoire naturelle,BOTTLENOSE DOLPHIN RESEARCH INSTITUTE - BDRI","Master,Stage en éthologie appliquée sur l'étude de la personnalité des chiens de protection des troupeaux,Stage: Etude des réponses comportementales des cercopithèques de l'Hoest face à des prédateurs,Stage en conversation des cétacés","Other,Student","Licence Edu,Licence Exp"
12777e3402f6b67e86179da67d0bb0bf,chef d equipe maçon chez Jacquet, France,"Jacquet · Permanent,Bouygues Bâtiment Sud-Est","Chef d equipe gros oeuvre,chef d equipe maçon","Other,Student",Master Exp
129ef33b8dfd3fcdfde83fa378be49a4,"Software engineer [Database skills ; hardware-adjascent objectives].,Student", France,"Université de Montpellier,Laboratoire Charles Coulomb (L2C) - Centre de Biochimie Structurale (CBS),fortil · Permanent,Sopra Steria · Apprenticeship,Polytech Marseille,Institut Pasteur,Polytech Marseille · Apprenticeship","Engineer In Training (alternance),M2 intern,Programmer (fr: programmeur),PhD student,Software engineer [Database skills ; hardware-adjascent objectives].,Quality Assurance Engineer","Other,Student","Master Edu,Master Exp"
13165848cd4d4d91a1382b246987aa2b,Global regulatory affairs manager at Ÿnsect,France,Ÿnsect,Global regulatory affairs manager,Student,PhD
131da0a6a1d3add3df4a60e22721acb4,"Scientific Editor, Neuron at Cell Press",United States of America,"Harvard University,UPMC - Sorbonne Universities,Cell Press","Scientific Editor, Neuron,PhD student in Cognitive Neurosciences,Postdoctoral Fellow in Cognitive Neurosciences","Research,Student",PhD
1328422910a600e036e16d6769fe1254,Chercheur postdoctoral en chimie médicinale et phytosanitaire at Bayer,France,"Institut de Chimie Moléculaire de l'Université de Bourgogne,Bayer,Institut Curie","Chercheuse Doctorant,Chercheur postdoctoral en chimie médicinale et phytosanitaire,Postdoctoral researcher","Research,Student",PhD
1332256e776f459b4f01257d929c6e4b,Consultant - Data Scientist at PartnerRe,France,"Collège des Ingénieurs,PartnerRe,Institut Pasteur,Lycée Henri IV,École normale supérieure Paris-Saclay,Sanofi","Consultant - Data Scientist,Elève normalien,Student,Research Assistant,Researcher PHD Student,Research Intern,Colleur/Teaching assistant","Research,Other,Student","PhD,Master Edu,Master Exp"
13eb368d8ad3c4f79d2b7f51dd6c8c18,Learning & Instructional Designer,Canada,"Accenture,Association de la construction du Québec (ACQ),Commission scolaire de Montréal (CSDM),CHUM - Centre hospitalier de l'Université de Montréal,nod-A","Formatrice en entreprise,Conseillère en formation,Visual Designer,Instructional Design Analyst,Conseillère en développement de programmes et projets d'apprentissage","Other,Student",Master Exp
143ded98abd29a952eda872483253af4,PHD Student at Centre national de la recherche scientifique,France,"BDE - ENSTA ParisTech,Licence Frontière du Vivant - Centre de Recherches Interdisciplinaires,Centre national de la recherche scientifique,Marie Curie Research Institute,École Polytechnique,University of Lisbon","Alumni Coordinator,Etudiant,Internship at Marie Curie Institute,PHD Student,Research Intern,Master","Other,Research,Student","Licence Edu,Licence Exp"
15850f68237846ee86cab4110fef360f,Research Engineer at CNRS - Centre national de la recherche scientifique,France,"CNRS,CNRS - Centre national de la recherche scientifique","Postdoctoral Research Fellow,PhD candidate,Ingénieur de Recherche contractuel,Research Engineer","Research,Student",PhD
1586c85d90aa8318b9ff76f3ade8ef9f,Research Fellow at Massachusetts General Hospital,France,Massachusetts General Hospital,Research Fellow,Research,PhD
167d91b185c81843c938582b826c5934,Research Fellow at Boston Children's Hospital,United States of America,"Institut Pasteur,Boston Children's Hospital,ESPCI Paris","Research Fellow,PHD Student","Research,Student",PhD
16f90237093a043332d99e1460489551,Chargé de communication éditoriale et soutien aux juridictions administratives at Conseil d'État,France,"Conseil d'État,Qu'est-ce qu'on fait ?!,Citizen Press,TotalEnergies,Wax Science,HATIER,MAISON THIBAUD,L'Octopus journal,Le Fournil D'Enghien,CRI,Institut Curie","Publishing and Communication Officer,Project manager and scientific vulgarizator 👔🗣,Multimedia journalist,Model maker 📰,Chargé de communication éditoriale et soutien aux juridictions administratives,Communication manager of the FABELIER FabLab,Iconographer 🖼,Part-time seller 🥖,Other,Writer 🖊,Seller,In charge of edition 🖋,Journalist,Independent redactor 🖊","Other,Student","Licence Edu,Licence Exp"
170339aeaaa9079f4bbc534d5b3dd8d2,Responsable de la mise en œuvre du plan Données du CNRS at cnrs,France,"Frateli Lab,Université de Versailles Saint-Quentin-en-Yvelines,Université du Luxembourg,cnrs,Deuxième labo,Institut Pasteur,CNRS - Centre national de la recherche scientifique,Sciences Po,Miroslav Radman's Lab - Necker,MINES ParisTech - Ecole des mines de Paris,French National Institute of Agricultural Research,Ecole nationale supérieure de création industrielle( ENSCI),EHESP - School of Public Health","Post-doc research scientist,Post-doc research scientist at RITME,Master's student,Lecturer on political aspects of main contemporary scientific issues,Responsable du programme ""Coworking Étudiants-Entrepreneurs"",Cours de cartographie des controverses,Cours d'Humanités numériques dans un Master d'histoire contemporaine,Assistante de Daniel Benamouzig (cours sur les Humanités scientifiques),Biology lecturer,Coordinator (introduction to biology),Co-gérante et co-fondatrice,Responsable de la mise en œuvre du plan Données du CNRS,Membre du jury du concours d'entrée à l'ENSCI (école de design),Chargée des usages et des utilisateurs","Research,Entrepreneurship,Other,Student",Master Exp
180775b4f5ea654d9dd3bb54bef1bb67,inventor and entrepreneur, France,"Way to Russia Guides,INSERM,Ways Ltd,InfraNodus,Special Agency,Nodus Labs","Creative Director,Director Of Research Development,Medium,Owner and Director,Director and Editor in Chief,Data Scientist","Research,Board,Other,Student",Master Exp
18602bd487183f3d71f84e145b1fe5bf,PhD student at Ghent University,France,"FDV,Ghent University",PhD student,Student,PhD
18c7ad4a42b45ef3e2f621c243261882,Médecin. Chef de Clinique Assistant - Université de Paris / APHP,France,"Sorbonne Université,Unisanté,AP-HP, Assistance Publique - Hôpitaux de Paris","Chef de Clinique Assistant,Interne - Médecin Assistant,Interne de médecine générale",Student,Master Exp
19412dd9b98d864874db7b597eef4cf3,Cheffe de projet FHU PRECICARE et projets structurants - Département Partenariat et Innovation at CHU de Nantes,France,"ANR (Agence nationale de la recherche),CHU de Nantes,Institut Pasteur,Futuribles International,INSERM, Institut Pasteur, Plant Cell Walls - ARC Center of Excellence,Zen Organisation","Student,Stages de Recherche,Rédactrice pour la Vigie de Futuribles, revue pluridisciplinaire et prospective,Animatrice,Chargée de recherche - PhD,Chargée de projets scientifiques pour le Fond National de Valorisation (PIA),Cheffe de projet RHU SUccESS,Cheffe de projet FHU PRECICARE et projets structurants - Département Partenariat et Innovation","Research,Other,Student","Master Edu,Master Exp"
19832fe6df16a22aca71923e9a40484c,Open and Data science research-practitioner and consultant at Inno3 SAS,France,"Inno3 SAS,Centre Virchow-Villermé for Public Health Paris-Berlin,DRISS - Provide training, guidance and equipment for effective digital change,Université de Technologie de Compiègne (UTC),UQAM | Université du Québec à Montréal,Association HackYourPhD,Ancre des Savoirs,Sciences Po,CRI","Guest lecturer,Open and Data science research-practitioner and consultant,LabCMO Trainee,Research fellow Laboratoire COSTECH,Research Project Manager,Co founder,Chief Executive Officer /Co-founder,Co-Founder of HackYourPhD now HackYourResearch","Other,Entrepreneurship,Research,Student",PhD
19a79975b30d3f74423842d70a47c917,Étudiant stagiaire at Association Science Ouverte,France,"Association Science Ouverte,AgroParisTech","Master,Étudiant stagiaire","Research,Student","Licence Edu,Licence Exp"
1a3b42c3aacaf0ffef5c6e7d6b466d22,Postdoctoral Researcher at Institut Pasteur,France,Institut Pasteur,"Postdoctoral Researcher,Student",Research,"PhD,Master Edu,Master Exp"
1b1b9dd06dc1edfe8121d38c459f6e59,CEO and founder at Heliosand, France,"EPSI · Part-time,Heliosand,StartupToken,CNRS - Centre national de la recherche scientifique,Ecole nationale supérieure des Beaux-Arts,floki IO,BeeBuzziness · Part-time,Ticket for Change,Encontroles","Consultant Strategy Business Development,Professor Of Physics,Entrepreneur du changement,CTO and co-founder,DPO (data protection officer),PHD Scholar,Blockchain Profesor,CEO and founder at Heliosand,CEO and founder,Mentor","Research,Other,Entrepreneur,Student","Master Edu,Master Exp"
1bbef62a2e3919215422d781721fe705,ANIA - Responsable communication institutionnelle et médiatique at ANIA (Association Nationale des Industries Alimentaires),France,"ANIA (Association Nationale des Industries Alimentaires),LinkUp Factory,AgroParisTech - Institut des sciences et industries du vivant et de l'environnement,ALGAMA","Assistant Chef de projet nutrition santé RSE,Chef de projet ingénieur - Communication / RSE,Vice-président de l'UDE Agroparistech - Union des Elèves,Assistant Chef de produit,ANIA - Responsable communication institutionnelle et médiatique,Master","Board,Other,Student","Licence Edu,Licence Exp"
1c442048402523b1c238bb016183664c,Phd-student chez Laboratoire Jean-Perrin / Institut de la Vision / Sorbonne Université, France,"ESPCI Paris,Laboratoire Jean-Perrin / Institut de la Vision / Sorbonne Université,Institut du cerveau et de la Moelle épinière","Phd-student,Research Intern,Research Intern at Claire Wyart Laboratory - ICM (Institut du Cerveau et de la Moelle épinière)",Student,Master Exp
1d18cc5dd0a9dc2326bc534f089acb4c,"Medical Devices Requirement, Validation & Verification Expert at IBA",Belgium,"IBA,UL,Elmea Consulting","Medical Devices Compliance Expert,Regulatory Affairs Engineer,Medical Devices Requirement, Validation & Verification Expert","Other,Student",PhD
1e3420968486607e65dda2193a96205f,"Consultant, Livestock & Biodiversity at FAO",Italy,"FAO,French National Institute for Agricultural Research","Consultant, Livestock & Biodiversity,PhD Student",Student,PhD
1e462d54203eb48dd292122c44a3bb64,postdoctoral researcher at Universitätsspital Zürich,Switzerland,"Eawag Water research center and ETH, Swiss Federal Institute of Technology, Zurich,Universitätsspital Zürich,CNRS- Université Paris-Diderot","Student,postdoctoral researcher,Postdoctoral Fellow,Thèse","Other,Research,Student","PhD,Master Edu,Master Exp"
1e51a781f683a1ef93a08db166a5f85c,Postdoctoral Researcher at Harvard University,United States of America,"Massachusetts Institute of Technology,NASA Ames Research Center,Chalmers University of Technology,Harvard University,Genethon","Postdoctoral Researcher,Visiting Ph.D Student,Research Intern,Ph.D Student in Systems & Synthetic Biology","Research,Student",Master Exp
1e76367ec7317eb6084a24f96b977f7b,Stagiaire at Sorbonne Université,France,Sorbonne Université,"Master,Stagiaire",Research,"Licence Edu,Licence Exp"
1f4921c1033deeae3fecb7be3f051ae3,Co-founder & CEO at Afineur,United States of America,"SynBio Consulting,Department of Energy,Harvard University & Center for Interdisciplinary Research,Verb Biotics LLC,European Commission,Omeecs,Canadian Synthetic Biology Education Research Group (CSBERG),PureTech Health,Afineur,SOIL.BIO,Merck KGaA, Darmstadt, Germany,UNESCO,Harvard Medical School,Microbes BioSciences, Inc.","Strategic Advisor,Business and Technology Development,Advisory Board & Jury,Co-founder & CEO,Chief Scientific Officer,Advisory Board,Reviewer - Biomanufacturing & Synthetic Biology,Project Management - Biotechnology,Board Member,Founder and Partner,Management of Innovation,Co-founder, Co-CEO,Fellow - Harvard Office of Technology Development,CEO & Founder","Entrepreneurship,Board,Student,Research,Other","PhD,Master Exp"
1f86d47ec4197b8ffae5c6bb32edc847,Computational biologist in single-cell and functional genomics, France,"École normale supérieure · Full-time,EMBL · Internship,KU Leuven · Full-time","Computational biologist in single-cell and functional genomics,PHD Student,Postdoctoral Research Fellow,Master Thesis","Research,Other,Student","Master Edu,Master Exp"
1f9486cdbc24e75115dff4e2394d5233,"Student,Entrepreneurship, Research, Science Communications",France,"L'Hôpital Sainte Antoine,freelance,Université Paris Descartes + INSERM + CRI,INSERM","Science Communications,Researcher,Entrepreneurship, Research, Science Communications","Research,Student","Master Edu,Master Exp"
1f9ca91759511f1c49f8078a1a196bb4,"Directeur Médical, Mila", France,"AbbVie,AstraZeneca,Ministère des Affaires sociales et de la Santé,Roche,MSD France,AP-HP, Assistance Publique - Hôpitaux de Paris,Université Paris Descartes,Hôpital Necker-Enfants Malades,AP-HP,Sanofi,Mila","Medical Affairs Manager Onco-Hematology,Medical Affairs Manager Oncology (MD Resident),MD Resident. Clinical Research / Biostatistics,Global Medical Director,Medical Student,MD Resident. Pharmacovigilance/Pharmacoepidemiology,MD Resident. Junior HEOR Associate,University Teacher Biostatistics,MD Resident. Medical advisor,Directeur Médical, Mila,Directeur médical","Research,Board,Other,Student","Master Edu,Master Exp"
